Client,Sex,Age,Tenure
909,M,21,27
1217,M,38,165
850,F,49,44
1473,M,54,34
1038,M,29,106
225,M,14,187
699,M,37,175
827,M,57,50
1231,F,6,232
528,F,19,70
1145,M,61,45
739,M,69,55
956,M,52,139
517,F,41,28
1219,M,33,19
1475,F,59,20
175,F,41,61
137,F,63,168
316,F,1,211
461,F,17,64
1048,F,65,71
123,F,22,40
1574,F,30,149
1160,M,19,260
1083,F,39,12
36,F,49,263
1134,F,35,96
191,M,59,150
689,F,39,133
390,M,50,67
1218,F,36,49
729,M,17,85
7,F,55,227
817,M,42,152
994,M,40,31
186,M,40,26
682,F,3,149
3,M,17,140
363,M,33,59
654,F,36,148
54,M,38,149
308,F,45,135
416,F,44,95
328,F,27,10
938,M,57,33
1445,F,27,28
285,F,76,249
1404,F,68,11
387,M,36,149
441,M,46,0
1098,M,64,118
883,F,34,67
547,F,52,31
317,M,35,53
1579,M,50,0
97,F,71,135
882,M,36,150
1201,F,61,132
1461,M,32,158
1182,M,47,86
18,M,25,41
561,F,51,25
273,M,40,67
1381,M,38,135
181,M,71,0
63,M,37,29
688,F,71,100
1520,M,51,120
109,M,64,151
1484,M,39,0
932,F,22,126
357,M,5,39
1289,F,12,20
1274,M,41,35
668,F,55,119
204,F,41,12
875,M,43,124
1380,F,32,165
1331,F,79,47
236,F,37,168
725,F,31,74
1545,M,60,159
248,F,27,127
135,M,24,82
332,M,73,37
1469,F,32,15
840,F,67,86
1076,F,22,61
478,M,41,11
703,F,21,149
1005,M,28,87
550,F,64,179
1116,M,24,33
976,F,58,175
1063,M,5,230
203,F,57,181
1037,F,59,181
427,M,25,20
519,M,17,151
469,M,38,183
1004,M,70,145
1001,M,64,9
262,F,38,72
2,M,43,152
707,M,88,75
601,M,61,33
477,M,32,152
907,M,67,193
1572,F,48,151
1127,M,70,191
1550,M,47,16
1584,M,39,181
1088,M,41,10
1186,F,45,173
891,M,21,11
889,M,36,236
661,F,67,56
1578,M,30,131
159,M,33,152
1142,F,41,0
1342,M,27,211
1379,F,47,133
240,M,43,162
1288,M,41,3
187,M,55,164
82,F,20,151
1458,M,38,152
527,F,17,22
536,M,29,14
761,F,44,13
375,M,64,149
1034,M,68,172
1440,M,29,96
1447,M,52,20
247,F,55,172
19,F,46,94
797,F,37,151
865,M,23,26
1287,M,40,176
1434,F,76,268
914,M,28,8
787,M,66,129
253,M,37,13
453,F,23,83
1542,F,56,62
631,F,65,150
10,F,29,48
1611,F,41,181
1477,F,64,184
238,M,24,256
293,F,21,76
457,F,73,0
959,F,34,27
1489,M,80,66
1552,M,50,89
215,M,32,94
130,F,60,147
1036,F,68,19
1060,M,40,88
370,M,77,1
322,F,1,92
1556,M,60,162
1405,M,24,103
154,M,28,151
460,F,20,150
501,F,64,11
217,M,17,152
9,F,33,182
4,M,24,153
981,M,34,59
1195,M,68,200
278,M,36,56
37,F,30,172
86,M,36,31
1353,M,29,83
79,F,41,75
1045,M,53,25
150,F,27,3
943,F,13,150
834,F,28,78
324,F,35,23
272,M,61,103
633,F,47,4
70,M,38,152
894,M,69,21
1423,M,67,50
1311,F,66,135
819,M,34,181
806,F,37,59
126,F,33,173
1352,F,67,59
436,M,27,70
393,M,60,170
1532,M,35,101
413,M,53,15
1019,F,18,39
1499,F,5,267
1516,F,40,192
564,M,58,32
476,M,42,37
971,M,59,56
947,M,34,86
1165,F,21,73
1439,F,25,7
570,F,51,3
1303,M,52,151
369,M,59,39
554,M,40,150
133,M,46,6
468,F,61,37
1227,F,39,122
1393,F,74,195
1104,F,79,213
1015,M,31,96
1596,M,49,78
256,F,29,93
1086,F,45,11
167,M,73,92
1285,M,76,4
1561,M,12,204
1028,F,29,39
1084,M,23,102
1121,F,35,190
42,M,23,4
816,M,24,4
998,M,37,7
638,M,1,31
852,M,30,199
711,F,26,150
1294,F,51,172
199,F,47,151
125,M,38,175
1250,F,40,15
736,F,74,233
929,M,87,150
791,F,16,23
1258,M,63,48
1364,F,39,63
382,M,29,150
684,M,43,165
84,M,66,235
722,F,26,83
189,M,16,22
636,M,51,82
1600,F,44,200
51,F,67,85
473,M,61,69
342,F,26,203
1236,M,24,151
1528,F,23,110
1523,M,42,111
690,F,72,105
264,F,48,109
1599,M,25,220
346,M,52,71
1390,F,59,170
1139,M,52,71
904,F,23,152
1606,M,47,78
61,F,14,159
1361,F,64,10
542,M,24,25
131,M,47,92
584,M,35,232
755,M,34,55
287,M,32,104
1298,F,26,176
1492,M,56,200
40,M,27,33
1074,M,21,49
1413,M,31,52
1191,M,69,46
66,M,62,91
1357,F,56,14
1590,M,50,52
1023,F,49,150
518,F,52,115
474,F,19,75
1414,F,71,49
291,F,72,12
771,F,6,66
1374,F,61,150
1339,M,80,86
415,M,57,177
69,M,41,17
1601,M,22,139
1156,M,82,25
94,M,22,189
580,F,57,40
1505,M,60,176
957,F,92,19
1172,F,11,49
924,F,30,135
880,F,49,64
993,F,19,38
718,F,2,13
680,M,37,26
935,F,46,49
471,F,29,38
25,F,97,181
1035,F,32,145
568,F,42,151
1293,F,31,151
492,F,24,139
933,F,17,102
1078,F,27,169
486,M,43,195
1213,M,36,152
266,M,42,34
1573,F,69,181
1031,M,40,172
735,M,23,53
930,F,26,117
178,M,20,46
1051,M,34,102
647,M,68,28
659,F,40,130
757,F,50,108
1503,M,52,144
687,F,43,57
1401,M,51,81
915,M,59,180
1431,F,19,231
1496,F,28,103
656,M,62,45
1410,F,41,85
59,F,32,149
773,F,68,42
701,F,39,151
589,M,39,150
1317,F,39,176
1430,F,62,87
1095,F,26,144
381,M,81,19
1085,M,32,103
121,F,25,31
1419,M,35,59
665,M,44,153
524,M,23,153
303,M,32,87
439,F,67,104
991,M,42,68
355,M,43,36
611,M,35,181
1022,M,71,53
1354,M,17,142
649,F,21,39
635,F,35,44
652,M,50,112
1370,M,27,8
623,F,39,129
459,F,41,154
1068,M,46,24
1446,F,46,106
1397,M,18,81
1222,F,21,39
1322,M,63,52
485,M,10,181
1372,M,10,176
304,F,78,49
1209,M,50,19
1124,M,55,152
830,M,23,65
717,M,24,147
854,F,26,47
1589,F,20,22
372,F,39,172
1539,F,76,3
1570,M,70,7
1109,F,25,46
313,M,47,61
986,F,18,128
1320,M,60,191
855,M,35,150
366,M,21,75
960,M,15,53
1558,F,42,48
946,M,48,154
200,F,24,129
973,F,39,105
890,M,35,22
565,M,11,39
1141,F,48,37
242,F,45,146
1375,F,65,93
1257,F,23,8
767,F,58,9
494,F,58,151
1541,M,67,152
1297,F,78,159
858,M,8,25
339,M,16,60
1152,M,16,179
417,F,33,183
712,F,51,48
1576,M,66,219
46,M,45,95
1105,F,61,152
1075,F,29,101
230,M,40,271
1080,F,48,122
1184,F,28,80
1020,M,21,150
793,F,63,20
1230,F,45,20
794,F,39,202
120,M,32,14
1133,F,44,89
526,M,73,40
1448,F,24,147
1537,M,29,65
89,F,40,118
198,F,54,5
1567,F,39,176
1244,F,34,152
91,M,35,61
1096,F,39,266
698,M,51,102
161,F,46,103
581,M,44,102
1338,M,42,61
553,M,43,152
1363,,38,8
1306,F,43,102
782,M,75,22
1453,M,80,54
928,F,83,24
1535,M,28,27
118,F,43,92
1232,M,56,149
1183,M,58,235
1362,F,76,53
974,F,61,110
1581,M,45,38
1543,M,27,152
1530,F,22,153
657,F,42,42
259,M,30,21
267,F,73,36
400,F,80,33
1460,M,72,2
625,M,60,139
970,M,32,255
642,F,87,196
720,M,21,150
1238,M,50,54
677,M,25,179
590,F,65,62
24,F,29,23
368,M,73,11
305,M,37,140
1256,M,6,149
407,M,32,12
290,F,66,24
770,M,37,80
706,F,31,220
1174,F,59,35
1462,F,36,38
144,M,67,104
176,F,56,188
558,F,29,172
1422,M,34,163
1395,F,41,64
1043,F,52,1
995,F,13,48
660,M,61,145
846,M,21,52
618,M,48,62
1613,M,46,45
774,F,29,33
908,M,43,179
911,F,22,30
867,F,36,62
1205,M,69,83
1059,M,34,48
1243,M,78,51
1272,M,35,96
901,F,41,52
1356,F,38,183
733,M,17,4
741,M,67,77
1130,M,33,31
1603,M,52,150
751,M,59,20
391,M,1,16
1511,M,49,147
1032,M,47,72
918,M,37,44
861,M,46,20
710,F,33,179
1173,F,35,65
1054,M,10,20
1344,M,21,100
1565,F,37,44
65,F,67,180
1299,F,24,72
897,F,51,116
1267,F,37,125
23,M,4,160
210,M,55,120
1290,M,65,252
923,F,49,226
1529,F,1,36
310,F,45,149
11,M,30,40
878,F,5,173
227,F,36,151
78,F,24,142
331,F,43,160
420,M,47,74
102,M,20,172
541,F,81,273
1249,M,66,71
1150,F,31,23
748,F,67,181
734,M,64,134
1281,F,40,15
1137,F,67,51
148,M,45,42
43,F,65,83
211,F,44,71
1198,M,34,144
1533,M,37,181
1300,M,41,150
1151,M,22,45
1042,M,61,83
615,M,34,132
910,M,34,44
522,F,47,129
352,M,38,194
800,M,35,75
1261,M,22,148
202,F,61,150
945,F,31,1
948,M,31,182
392,M,27,80
796,F,76,64
297,M,73,56
906,M,24,55
579,M,55,26
1526,F,39,146
1562,M,52,119
826,F,30,108
443,M,30,73
1295,M,32,162
964,M,52,61
916,F,51,151
919,F,29,5
563,F,26,150
1189,M,33,83
276,F,68,38
1485,F,54,23
180,F,56,174
1018,M,36,51
64,F,61,38
780,M,19,127
939,M,62,151
1064,M,39,98
1540,M,64,63
119,F,25,152
1050,M,44,151
30,M,54,2
772,M,68,19
989,M,55,181
484,F,71,90
483,F,57,175
805,M,57,147
1280,F,48,33
801,F,44,24
251,F,67,8
670,F,88,110
185,M,24,95
1407,M,43,16
1432,M,35,156
1350,F,23,111
1385,M,38,152
1175,F,21,233
487,M,35,60
1325,M,24,134
952,F,71,165
1329,F,16,149
1220,M,28,53
301,M,37,58
577,F,67,64
1610,F,48,92
1203,F,45,174
1366,F,32,33
531,M,30,211
258,M,73,182
389,M,43,158
228,F,38,158
1187,M,57,52
506,F,20,78
1594,M,22,110
1027,F,64,150
1360,M,28,212
1304,F,65,80
1525,M,45,2
318,F,17,77
1399,M,24,151
1506,M,56,108
905,M,37,11
21,F,24,60
1433,F,61,3
149,M,54,18
874,F,32,151
595,M,25,75
857,F,61,171
1081,F,27,173
869,M,66,93
194,M,27,2
1365,F,39,227
394,M,7,150
454,M,76,136
1544,F,30,0
672,M,4,261
599,F,22,23
385,F,51,70
944,M,43,149
491,M,53,10
336,M,69,186
1014,M,37,152
1437,M,67,62
756,M,29,149
860,M,26,9
557,F,21,151
196,M,63,75
437,F,45,58
156,M,54,95
1377,F,53,171
1337,F,65,175
402,F,29,30
1135,F,67,27
421,M,28,110
38,F,27,12
239,F,24,150
545,M,20,151
447,F,30,176
257,M,45,38
103,F,80,199
367,F,42,3
1577,M,66,72
27,M,62,181
1555,F,19,86
1359,M,40,60
900,M,48,251
48,M,64,92
1180,F,18,150
1077,M,26,25
1498,M,30,107
1194,F,32,149
1471,F,75,108
505,M,38,157
1286,M,39,181
862,M,29,152
74,M,63,20
152,M,50,64
1527,M,39,10
1251,M,53,74
1575,F,25,67
1234,F,52,114
116,F,47,239
1159,F,33,128
446,F,27,181
546,F,63,47
612,F,74,9
925,M,28,0
1490,F,61,181
136,M,33,52
254,F,34,55
39,M,78,51
1495,M,50,8
1346,F,32,77
1235,M,65,97
783,M,26,102
1314,M,34,138
551,F,10,32
692,M,32,126
1052,M,34,150
170,F,41,151
62,M,51,113
1308,F,22,10
1166,F,77,79
566,M,40,161
853,M,47,148
155,M,27,97
1097,M,37,169
951,M,69,178
795,F,68,26
1241,F,2,170
388,F,40,89
1223,F,44,0
320,M,28,114
766,M,32,95
829,F,80,71
235,F,26,146
280,M,23,234
876,F,57,115
1510,M,19,44
306,F,52,78
1126,M,46,117
1597,M,19,181
744,M,33,107
197,M,70,58
14,F,38,95
917,F,44,232
769,F,31,64
1090,F,31,33
315,M,24,93
504,M,20,55
831,M,47,111
1132,M,93,94
868,F,40,151
219,M,70,50
1609,M,31,111
587,F,53,83
1566,M,4,33
548,F,54,12
1263,M,69,103
1065,F,25,119
395,F,49,150
1582,F,51,237
216,F,61,71
1087,M,29,34
544,M,5,113
113,F,43,150
1384,M,27,124
1416,M,61,132
812,M,29,175
1514,F,38,171
1493,M,2,183
283,M,27,104
673,M,73,116
714,M,52,181
1039,F,56,46
399,M,59,152
160,F,41,181
737,F,55,31
281,M,30,140
1123,F,36,192
114,F,26,13
1107,F,13,151
396,F,26,96
1452,F,36,15
750,F,40,173
643,M,57,123
602,M,65,103
1612,M,63,114
942,M,40,76
244,M,41,162
404,F,25,63
790,M,30,122
99,F,68,150
639,F,81,234
1406,F,21,181
1398,M,42,151
13,F,66,132
1321,M,44,180
1242,F,23,63
515,F,46,102
828,F,27,221
1055,M,21,10
1047,F,41,14
1247,M,61,55
56,M,54,105
1472,F,70,146
1056,F,10,159
414,F,33,116
709,M,26,25
572,M,39,16
1551,F,3,15
360,M,46,86
807,M,42,86
442,M,13,38
1010,F,59,32
982,F,86,88
428,M,49,102
433,F,43,183
999,F,26,85
201,M,68,34
1301,M,52,71
1522,M,72,143
674,F,31,263
1564,F,29,175
108,F,39,82
845,F,31,37
1262,M,34,67
34,F,48,104
134,M,32,128
250,F,31,42
1200,F,50,81
1202,M,74,62
1240,M,47,150
1148,F,70,152
68,M,54,20
838,M,24,181
1318,F,62,242
246,M,62,0
438,F,30,217
422,F,27,160
479,M,30,96
294,F,54,101
630,M,22,178
841,F,63,134
1215,M,29,55
1519,M,41,4
537,M,78,58
693,F,15,54
263,F,67,10
379,M,69,150
111,F,34,94
1158,F,33,0
1438,F,27,199
556,M,39,160
289,F,44,150
179,F,20,109
1328,M,54,52
1355,F,55,101
1021,M,29,8
958,F,63,68
669,M,56,58
282,M,50,152
778,M,50,150
555,F,29,22
617,F,29,26
365,M,60,192
511,M,26,137
214,M,39,9
221,M,42,186
592,F,50,149
153,F,67,92
500,M,30,150
743,M,57,203
616,M,67,79
229,M,74,141
781,M,51,188
169,M,75,76
455,F,32,15
627,M,30,227
1061,M,21,80
1155,F,69,219
1451,M,49,151
1157,F,71,171
337,F,47,150
814,F,46,7
870,M,22,101
508,F,53,0
752,M,58,37
87,M,45,58
719,F,35,95
912,M,50,10
1425,F,32,66
444,M,63,250
837,M,56,176
432,M,53,13
1442,F,26,9
1275,F,66,84
378,M,75,44
776,M,33,152
1310,M,36,104
888,F,46,150
224,F,83,175
1153,M,40,46
177,F,22,71
881,M,72,179
1041,M,61,11
835,F,66,98
1386,F,52,8
96,M,30,151
1122,F,19,142
1330,M,6,31
646,M,45,4
359,M,30,12
1253,M,50,134
1199,F,73,178
967,F,27,152
788,F,62,94
252,M,45,79
138,M,47,79
309,F,62,134
626,F,58,100
1245,M,51,181
804,M,70,130
873,F,31,150
1387,M,72,107
1106,M,36,19
1605,M,63,44
166,M,48,51
55,F,51,137
288,F,32,151
966,M,44,217
1351,F,40,149
605,M,59,88
1488,M,73,233
1327,M,57,124
1246,F,42,180
538,F,48,119
1185,M,33,84
1323,F,70,213
1002,F,73,48
373,M,39,7
1450,M,41,66
295,M,46,38
516,F,63,176
895,F,22,25
222,F,70,68
426,M,42,10
937,M,65,80
1557,F,77,150
237,M,40,173
839,M,29,55
1587,F,40,13
173,M,23,150
521,M,23,149
495,F,19,150
803,M,37,115
411,M,74,33
597,M,69,12
1271,M,42,94
364,M,37,96
1554,F,46,150
678,F,16,57
815,M,42,150
261,F,18,152
1429,M,28,150
475,F,68,113
28,F,18,28
514,M,77,129
271,M,24,70
323,F,38,63
1094,M,25,8
467,F,83,3
1536,F,70,63
1093,M,22,181
205,M,19,9
1483,M,69,41
667,M,48,143
1515,F,51,105
1549,M,34,237
218,M,40,26
75,M,59,57
312,F,71,57
533,F,63,27
226,F,57,107
52,F,43,53
749,M,30,9
1302,M,66,69
425,M,72,150
1062,F,64,2
1563,M,24,12
470,F,79,128
1260,M,61,171
347,F,46,80
859,M,12,150
20,M,27,181
1602,M,43,3
1177,F,42,149
1221,M,86,17
1341,M,32,180
576,M,58,63
451,M,62,152
67,F,14,20
1474,F,25,240
1154,M,82,151
1607,M,38,21
768,M,19,67
920,M,29,150
265,F,26,179
497,M,42,181
1583,M,8,151
344,M,45,54
129,M,42,126
1345,F,22,152
1008,F,37,103
434,M,64,130
41,M,20,198
1197,F,62,36
836,F,27,129
523,F,38,0
902,F,40,212
675,F,36,131
921,F,36,167
620,F,28,27
1204,F,27,65
978,M,35,44
740,F,71,1
1000,M,61,1
1307,F,50,150
1392,F,29,152
926,M,72,188
777,F,5,22
1324,M,48,225
1226,F,82,211
92,M,59,149
353,M,61,150
789,M,26,2
141,F,20,24
1167,F,53,53
1608,F,63,108
350,F,4,218
1436,M,24,123
277,F,26,61
708,M,49,181
1131,F,46,170
127,F,25,150
98,M,51,150
270,F,31,63
1129,F,42,45
1229,F,64,175
681,F,56,33
1193,M,48,16
1591,F,10,170
607,F,20,151
1586,F,2,30
208,F,40,183
747,M,31,20
188,F,30,53
1169,F,6,172
106,F,48,88
585,M,30,30
591,F,36,150
1033,M,23,188
1614,M,48,65
81,M,86,19
997,F,71,62
405,M,26,0
1391,M,73,136
1066,M,70,54
940,M,18,9
1212,M,32,198
779,M,44,132
115,F,57,144
445,M,21,15
354,M,43,68
574,F,67,68
165,F,42,103
493,M,47,92
866,M,21,83
1455,M,39,151
1136,F,69,152
1192,M,25,109
980,F,51,88
143,F,66,18
213,F,47,151
1348,M,39,16
480,M,36,71
691,F,41,216
410,M,17,27
397,M,12,57
1559,F,34,11
1417,F,52,151
1196,M,20,183
209,M,70,16
490,M,7,177
1138,F,54,150
543,F,72,96
1206,F,51,68
6,F,24,19
849,F,24,14
1595,M,11,53
738,M,49,123
1254,M,39,180
953,,50,35
802,M,47,25
458,F,29,149
1394,M,38,36
1568,F,40,17
1518,M,69,169
799,M,73,149
140,M,25,125
700,M,34,80
1009,M,41,152
1517,M,48,88
311,M,20,181
813,F,57,150
1030,F,27,164
338,F,27,152
1237,F,43,134
1588,M,61,37
1101,M,24,60
975,M,57,215
983,M,56,80
45,M,63,52
1409,F,10,149
763,F,83,126
721,F,67,82
104,M,10,65
101,M,63,139
1147,F,38,164
1168,F,85,205
954,M,83,20
418,M,28,8
724,F,39,176
614,M,58,28
1508,M,68,132
1143,M,53,65
702,F,71,168
430,M,52,134
848,M,34,23
640,F,33,132
664,M,63,121
448,F,23,159
220,F,51,29
1333,M,34,198
76,F,66,178
1162,F,30,9
676,F,37,68
713,M,50,67
1373,F,25,26
1521,M,27,56
811,M,28,151
1046,M,51,30
1486,F,27,75
754,F,36,196
146,M,37,89
1478,F,54,11
885,M,32,151
1389,M,50,9
1266,F,20,59
1368,M,23,51
1571,M,39,211
112,F,73,31
292,M,36,5
1092,F,31,115
716,F,37,107
72,M,47,129
139,F,74,64
302,M,63,27
107,F,26,181
343,M,38,162
151,M,58,265
583,F,34,149
990,F,23,153
727,F,53,209
1513,F,87,149
1497,F,32,150
231,M,27,216
16,M,46,149
1117,F,55,117
562,M,22,179
1279,M,51,163
182,M,64,187
482,F,65,7
520,M,57,20
1228,F,19,7
1400,M,40,39
1017,M,57,145
233,M,32,85
1524,F,25,115
1309,M,57,151
1070,M,24,97
329,F,18,149
1029,M,68,135
1013,F,25,150
376,M,61,50
965,M,62,169
88,M,21,33
1457,M,41,30
1146,F,57,11
1006,M,30,182
513,M,40,152
207,F,41,25
784,F,30,88
326,M,33,129
489,M,67,151
1102,M,59,8
249,F,25,196
760,F,44,92
345,M,56,111
1277,M,21,19
645,M,63,144
17,F,64,150
496,M,35,149
549,M,30,58
1270,F,38,43
145,M,14,52
1091,F,42,174
1312,M,64,154
753,M,45,52
705,M,34,64
341,F,46,171
83,F,43,111
1003,F,16,39
1426,F,71,25
596,M,53,110
863,M,26,151
931,M,40,63
1112,F,45,134
1211,M,6,61
879,M,37,35
892,M,45,149
1459,F,29,62
1149,M,54,172
60,F,20,28
1411,M,32,40
32,M,29,15
1585,F,28,221
1284,F,58,26
651,M,58,79
746,M,46,163
361,M,71,168
608,M,35,157
269,F,39,61
1053,M,82,62
1,F,51,7
1465,M,41,14
1057,F,51,34
1463,F,43,117
723,M,59,0
1481,M,7,0
349,M,72,32
1208,F,23,62
509,M,5,168
1170,M,28,68
603,F,30,6
1369,M,39,55
488,F,59,6
206,M,83,205
785,M,9,179
1424,M,34,151
1248,F,28,33
12,M,45,155
93,F,31,8
325,M,33,167
110,M,55,76
232,M,38,4
1265,F,31,162
886,F,36,181
1125,F,64,150
1161,F,22,103
810,F,48,107
569,F,61,151
650,M,22,89
158,M,0,152
1259,M,26,228
260,M,40,153
662,F,8,56
330,M,34,2
851,F,4,80
371,M,49,70
1269,F,37,43
732,M,43,63
792,M,84,151
398,F,56,30
117,F,43,153
571,F,73,219
808,M,48,85
440,F,21,86
1007,F,42,152
658,F,51,32
132,M,50,53
1335,F,70,9
275,M,73,2
340,F,76,80
985,F,36,92
1538,F,35,150
1343,M,37,152
1058,M,79,145
26,F,27,24
653,M,39,100
57,M,28,157
1340,M,60,6
1412,M,40,149
696,F,44,175
401,F,38,37
996,F,39,1
972,F,26,56
593,M,42,169
1216,F,61,8
525,M,31,54
1464,F,54,35
380,F,37,176
358,F,38,181
33,M,71,150
992,M,24,83
1252,M,44,152
529,F,33,61
1332,M,37,209
1099,F,35,152
745,M,26,76
423,F,52,151
1140,F,75,6
821,M,77,61
697,F,54,256
1114,M,33,13
762,M,38,103
243,M,20,6
164,F,40,151
825,M,32,152
1225,M,45,220
510,F,50,188
1548,M,33,17
1128,F,60,64
1371,M,51,109
1073,F,4,9
1207,F,31,71
877,F,26,8
759,F,26,75
296,M,16,36
435,M,40,93
1408,F,23,122
374,M,68,32
268,M,66,39
1082,M,1,150
1569,F,3,152
1546,F,37,82
1111,F,23,145
1347,M,23,70
1100,F,69,92
628,M,21,94
85,F,25,60
335,M,50,138
685,M,60,158
1291,F,33,226
575,F,28,151
913,M,44,3
499,F,53,212
333,M,33,203
73,M,87,163
157,M,25,151
613,F,5,96
1403,F,4,151
1504,M,37,151
987,F,29,34
1454,F,47,83
386,M,60,11
1067,F,63,181
552,M,43,136
786,M,75,239
1476,M,41,208
666,M,59,101
1305,M,35,152
742,M,45,104
644,M,56,20
503,F,32,73
988,F,47,28
1501,M,44,10
1313,M,76,74
348,M,27,253
969,M,22,8
122,M,39,80
168,F,26,168
1264,M,77,28
695,F,34,13
1507,F,43,98
1482,M,25,81
1071,F,54,8
955,F,19,62
726,F,60,67
35,M,66,31
1319,F,22,79
412,F,51,116
624,M,44,190
8,F,64,30
962,F,56,151
49,F,46,19
44,F,35,51
530,M,35,180
507,M,49,150
1428,F,50,151
452,F,74,0
212,F,23,68
47,M,45,229
183,M,32,179
1349,M,50,229
403,F,19,63
1502,M,17,34
818,M,76,173
1273,M,47,161
53,M,64,125
671,M,19,128
1509,F,34,13
758,M,33,31
1547,M,48,39
984,M,29,55
637,F,48,61
1103,M,51,233
1512,F,34,58
319,M,40,150
704,F,63,138
1480,M,24,89
1487,M,52,68
321,F,44,51
1011,F,38,50
1427,F,4,179
655,F,16,0
184,F,30,115
844,M,43,129
502,F,69,192
449,M,18,20
622,M,56,112
472,M,58,51
961,F,8,154
274,M,66,169
764,F,51,36
578,F,49,92
856,F,5,62
512,M,38,181
606,M,62,151
1420,M,46,86
71,F,43,15
377,M,38,167
1016,M,76,57
100,F,39,86
1531,F,31,104
1467,F,40,115
1598,M,23,80
1283,M,63,174
498,F,21,176
540,M,45,150
5,F,58,200
728,F,37,158
95,M,35,151
190,M,50,62
171,F,22,151
15,M,26,174
898,F,19,89
192,F,61,57
299,F,28,137
598,M,28,123
1210,F,17,171
1560,M,62,176
610,M,29,212
903,M,33,181
1278,F,60,59
142,F,27,183
586,M,33,84
679,F,39,71
896,M,23,99
1108,M,43,142
31,F,59,97
1164,F,69,168
535,M,39,151
463,F,48,59
1233,F,38,25
730,M,59,38
234,F,54,150
1181,F,66,32
1468,M,36,152
22,M,54,0
128,M,70,6
383,F,31,3
1443,F,40,152
560,M,58,25
1118,F,55,123
1176,M,14,19
823,F,49,9
327,M,73,177
1534,M,38,126
255,M,73,152
731,F,21,181
775,M,40,151
934,M,78,55
1435,F,44,148
609,F,67,14
532,M,65,125
1494,M,74,186
1296,F,49,151
286,F,4,20
1079,M,37,68
58,F,45,49
362,F,46,99
539,M,12,34
298,M,48,221
1040,M,65,14
1553,F,35,87
334,F,49,163
279,M,22,135
715,M,37,63
1580,F,31,139
1044,F,2,70
899,M,59,61
1144,M,48,18
872,F,26,152
847,M,19,77
798,F,24,102
1382,F,23,99
1179,M,68,177
1470,M,33,175
450,F,76,29
163,F,60,51
1388,M,69,27
824,F,57,1
1421,F,43,79
1113,F,58,15
307,M,32,151
1188,M,67,28
1163,M,36,152
979,M,35,156
1178,M,69,152
1115,M,31,6
1415,M,67,28
29,F,60,150
351,F,42,172
843,,36,151
1402,M,34,151
936,M,22,13
90,F,20,81
1316,F,63,158
1592,F,70,73
77,M,71,2
663,M,42,106
80,M,9,81
864,M,31,26
822,F,69,225
300,F,5,87
223,M,30,76
1292,F,47,151
871,F,45,157
1383,M,39,26
105,M,49,150
462,F,23,26
50,F,33,109
893,M,48,53
686,M,57,51
481,F,32,26
356,M,48,33
1491,M,19,151
950,F,26,152
820,F,66,55
884,F,32,149
634,F,31,81
594,M,35,33
1456,F,61,149
1255,F,42,136
429,F,59,69
465,F,27,43
1268,F,23,179
619,M,40,174
1418,M,64,83
1378,M,76,146
941,M,27,97
1315,F,40,88
1358,F,25,182
466,F,55,185
1049,M,39,197
632,M,26,173
1224,M,90,151
1479,M,66,61
968,M,35,116
588,F,64,39
1110,F,42,155
1444,M,39,139
832,F,37,174
534,F,38,71
147,M,25,176
1190,F,26,64
1120,M,37,178
174,M,22,109
1334,F,69,163
683,F,55,101
567,F,59,29
314,M,42,150
1441,F,49,97
648,F,7,152
1593,F,34,150
1604,F,60,19
1089,M,44,110
604,M,47,44
927,F,41,217
1119,F,22,177
887,F,55,151
1615,M,7,180
559,M,25,76
1396,M,56,16
949,F,55,150
842,F,54,56
1326,M,50,191
694,F,34,40
922,F,26,209
1449,M,94,149
1214,F,41,19
1072,M,50,103
241,F,30,12
582,M,57,65
408,M,35,181
284,M,66,23
641,F,72,150
1367,F,38,18
1069,M,58,142
963,F,71,104
1336,M,61,171
431,M,21,208
245,M,26,183
406,F,31,32
765,F,44,66
124,M,68,47
162,F,51,123
1376,F,20,36
193,F,64,181
1025,M,55,35
600,M,50,150
456,M,66,18
1239,F,27,26
1500,F,33,15
172,F,56,188
1026,M,70,69
809,M,30,157
419,F,33,82
1012,F,23,99
1024,M,65,13
424,F,40,31
1171,F,27,119
195,M,65,162
1282,M,23,68
833,M,36,150
573,F,56,77
621,F,37,152
464,M,68,153
1276,M,28,145
409,M,31,91
384,M,23,160
977,M,46,59
629,F,61,173
1466,M,63,97
